locus_tag	ftype	length_bp	gene	EC_number	COG	product
SRR29831_00884	CDS	609				hypothetical protein
SRR29831_00885	CDS	627	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
SRR29831_00886	CDS	138				hypothetical protein
SRR29831_00887	CDS	585		2.3.1.-		Putative acetyltransferase
SRR29831_00888	CDS	696				hypothetical protein
SRR29831_00889	CDS	279				hypothetical protein
SRR29831_00890	CDS	1323	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
SRR29831_00891	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
SRR29831_00892	CDS	1461	cysG_1	4.99.1.4		Siroheme synthase
SRR29831_00893	CDS	873	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
SRR29831_00894	CDS	648	cysG_2	4.99.1.4		Siroheme synthase
SRR29831_00895	CDS	702				hypothetical protein
SRR29831_00896	CDS	300	cbiN		COG1930	Cobalt transport protein CbiN
SRR29831_00897	CDS	720	cbiM		COG0310	Cobalt transport protein CbiM
SRR29831_00898	CDS	1089	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
SRR29831_00899	CDS	966	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
SRR29831_00900	CDS	1482	cobQ			Cobyric acid synthase
SRR29831_00901	CDS	768	mta		COG0789	HTH-type transcriptional activator mta
SRR29831_00902	CDS	501				hypothetical protein
SRR29831_00903	CDS	927				hypothetical protein
SRR29831_00904	CDS	558	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
SRR29831_00905	CDS	1584	lexA_1	3.4.21.88		LexA repressor
SRR29831_00906	CDS	648	kynB	3.5.1.9	COG1878	Kynurenine formamidase
SRR29831_00907	CDS	657				hypothetical protein
SRR29831_00908	CDS	546	aaaT_1	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
SRR29831_00909	CDS	1743				hypothetical protein
SRR29831_00910	CDS	549	bioY_1		COG1268	Biotin transporter BioY
SRR29831_00911	CDS	1026	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
SRR29831_00912	CDS	1608				hypothetical protein
SRR29831_00913	CDS	561	puuR_2			HTH-type transcriptional regulator PuuR
SRR29831_00914	CDS	885				hypothetical protein
SRR29831_00915	CDS	1026	ocd	4.3.1.12	COG2423	Ornithine cyclodeaminase
SRR29831_00916	CDS	771				hypothetical protein
SRR29831_00917	CDS	285				hypothetical protein
SRR29831_00918	CDS	405				hypothetical protein
SRR29831_00919	CDS	339				hypothetical protein
SRR29831_00920	CDS	345				hypothetical protein
SRR29831_00921	CDS	378	ykuD	2.-.-.-	COG1376	Putative L,D-transpeptidase YkuD
SRR29831_00922	CDS	588				hypothetical protein
SRR29831_00923	CDS	387				hypothetical protein
SRR29831_00924	CDS	429				hypothetical protein
SRR29831_00925	CDS	1233	aguA	3.5.3.12	COG2957	Agmatine deiminase
SRR29831_00926	CDS	870	rhaS_3			HTH-type transcriptional activator RhaS
SRR29831_00927	CDS	1113				hypothetical protein
SRR29831_00928	CDS	699	pduB		COG4816	Propanediol utilization protein PduB
SRR29831_00929	CDS	180				hypothetical protein
SRR29831_00930	CDS	183				hypothetical protein
SRR29831_00931	CDS	150				hypothetical protein
SRR29831_00932	CDS	1092	moaA_2			GTP 3',8-cyclase
SRR29831_00933	CDS	564	betI_5			HTH-type transcriptional regulator BetI
SRR29831_00934	CDS	861				hypothetical protein
SRR29831_00935	CDS	954	mraY_2	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
SRR29831_00936	CDS	207				hypothetical protein
SRR29831_00937	CDS	183				hypothetical protein
SRR29831_00938	CDS	186				hypothetical protein
SRR29831_00939	CDS	207				hypothetical protein
SRR29831_00940	CDS	519	nfrA2_1	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
SRR29831_00941	CDS	1437	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
SRR29831_00942	CDS	501	def_1	3.5.1.88	COG0242	Peptide deformylase
SRR29831_00943	CDS	1161				hypothetical protein
SRR29831_00944	CDS	762				hypothetical protein
SRR29831_00945	CDS	471				hypothetical protein
SRR29831_00946	CDS	933				hypothetical protein
SRR29831_00947	CDS	423				hypothetical protein
SRR29831_00948	CDS	651	cat_1	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
SRR29831_00949	CDS	447	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
SRR29831_00950	CDS	924	cynR_1			HTH-type transcriptional regulator CynR
SRR29831_00951	CDS	1443				hypothetical protein
SRR29831_00952	CDS	630	mhqN	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase MhqN
SRR29831_00953	CDS	309	yodB		COG1733	HTH-type transcriptional regulator YodB
SRR29831_00954	CDS	702	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
SRR29831_00955	CDS	600				hypothetical protein
SRR29831_00956	CDS	630				hypothetical protein
SRR29831_00957	CDS	849				hypothetical protein
SRR29831_00958	CDS	654				hypothetical protein
SRR29831_00959	CDS	627				hypothetical protein
SRR29831_00960	CDS	1083	yndE_1			Spore germination protein YndE
SRR29831_00961	CDS	189				hypothetical protein
SRR29831_00962	CDS	1146				hypothetical protein
SRR29831_00963	CDS	918	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
SRR29831_00964	CDS	795				hypothetical protein
SRR29831_00965	CDS	531				hypothetical protein
SRR29831_00966	CDS	429		2.3.1.-		Acetyltransferase
SRR29831_00967	CDS	555	flr			Flavoredoxin
SRR29831_00968	CDS	441				hypothetical protein
SRR29831_00969	CDS	225				hypothetical protein
SRR29831_00970	CDS	1122	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
SRR29831_00971	CDS	1176	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
SRR29831_00972	CDS	1290	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
SRR29831_00973	CDS	441			COG0071	18 kDa heat shock protein
SRR29831_00974	CDS	456	sulD		COG0801	Bifunctional folate synthesis protein
SRR29831_00975	CDS	252				hypothetical protein
SRR29831_00976	CDS	1188				hypothetical protein
SRR29831_00977	CDS	354	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
SRR29831_00978	CDS	1353				hypothetical protein
SRR29831_00979	CDS	249				hypothetical protein
SRR29831_00980	CDS	183				hypothetical protein
SRR29831_00981	CDS	279				hypothetical protein
SRR29831_00982	CDS	783				hypothetical protein
SRR29831_00983	CDS	747	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
SRR29831_00984	CDS	1557				hypothetical protein
SRR29831_00985	CDS	615	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
SRR29831_00986	CDS	1524	feoB_3		COG0370	Fe(2+) transporter FeoB
SRR29831_00987	CDS	777	feoB_4		COG0370	Fe(2+) transporter FeoB
SRR29831_00988	CDS	237				hypothetical protein
SRR29831_00989	CDS	2478	sgrR			HTH-type transcriptional regulator SgrR
SRR29831_00990	CDS	1314	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
SRR29831_00991	CDS	1314	brnQ_2		COG1114	Branched-chain amino acid transport system 2 carrier protein
SRR29831_00992	CDS	1173	hutI	3.5.2.7		Imidazolonepropionase
SRR29831_00993	CDS	1398				hypothetical protein
SRR29831_00994	CDS	1449	flp_2			Protein flp
SRR29831_00995	CDS	465				hypothetical protein
SRR29831_00996	CDS	90				hypothetical protein
SRR29831_00997	CDS	495				hypothetical protein
SRR29831_00998	CDS	840	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
SRR29831_00999	CDS	798	dapB_1	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
	repeat_region	1535				
SRR29831_01000	CDS	264	cas2	3.1.-.-	COG1343	CRISPR-associated endoribonuclease Cas2
SRR29831_01001	CDS	981	cas1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
SRR29831_01002	CDS	519				hypothetical protein
SRR29831_01003	CDS	2268				hypothetical protein
SRR29831_01004	CDS	906				hypothetical protein
SRR29831_01005	CDS	906				hypothetical protein
SRR29831_01006	CDS	1692				hypothetical protein
SRR29831_01007	CDS	735				hypothetical protein
SRR29831_01008	CDS	954				hypothetical protein
SRR29831_01009	CDS	783				hypothetical protein
SRR29831_01010	CDS	189	sspH_2			Small, acid-soluble spore protein H
SRR29831_01011	CDS	642				hypothetical protein
SRR29831_01012	CDS	1263	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
SRR29831_01013	CDS	714	walR_6		COG0745	Transcriptional regulatory protein WalR
SRR29831_01014	CDS	453				hypothetical protein
SRR29831_01015	CDS	120				hypothetical protein
SRR29831_01016	CDS	2667				hypothetical protein
SRR29831_01017	CDS	693	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
SRR29831_01018	CDS	1035				hypothetical protein
SRR29831_01019	CDS	996				hypothetical protein
SRR29831_01020	CDS	294				hypothetical protein
SRR29831_01021	CDS	906	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
SRR29831_01022	CDS	858	rhaR_6			HTH-type transcriptional activator RhaR
SRR29831_01023	CDS	792				hypothetical protein
SRR29831_01024	CDS	921	bcrA_4			Bacitracin transport ATP-binding protein BcrA
SRR29831_01025	CDS	693	srrA_2		COG0745	Transcriptional regulatory protein SrrA
SRR29831_01026	CDS	1683				hypothetical protein
SRR29831_01027	CDS	789	natA_1	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
SRR29831_01028	CDS	465				hypothetical protein
SRR29831_01029	CDS	231				hypothetical protein
SRR29831_01030	CDS	816	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
SRR29831_01031	CDS	1215		2.5.1.2		Thiaminase-1
SRR29831_01032	CDS	759	ind7	2.1.1.328		N-demethylindolmycin N-methyltransferase
SRR29831_01033	CDS	987	thyA	2.1.1.45		Thymidylate synthase
SRR29831_01034	CDS	462	DNPH1	3.2.2.-		2'-deoxynucleoside 5'-phosphate N-hydrolase 1
SRR29831_01035	CDS	1785	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
SRR29831_01036	CDS	603				hypothetical protein
SRR29831_01037	CDS	549				hypothetical protein
SRR29831_01038	CDS	636	arsM_1	2.1.1.137		Arsenite methyltransferase
SRR29831_01039	CDS	318	sdpR		COG0640	Transcriptional repressor SdpR
SRR29831_01040	CDS	441				hypothetical protein
SRR29831_01041	CDS	201				hypothetical protein
SRR29831_01042	CDS	1074	acr3		COG0798	Arsenical-resistance protein Acr3
SRR29831_01043	CDS	1746	arsA	7.3.2.7		Arsenical pump-driving ATPase
SRR29831_01044	CDS	372	arsD			Arsenical resistance operon trans-acting repressor ArsD
SRR29831_01045	CDS	324				hypothetical protein
SRR29831_01046	CDS	417	arsC	1.20.4.4		Arsenate reductase
SRR29831_01047	CDS	477				hypothetical protein
SRR29831_01048	CDS	228				hypothetical protein
SRR29831_01049	CDS	222				hypothetical protein
SRR29831_01050	CDS	1431				hypothetical protein
SRR29831_01051	CDS	2223	lagD_1	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
SRR29831_01052	CDS	456	xerC_1			Tyrosine recombinase XerC
SRR29831_01053	CDS	165	lagD_2	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
SRR29831_01054	CDS	162				hypothetical protein
SRR29831_01055	CDS	477				hypothetical protein
SRR29831_01056	CDS	150				hypothetical protein
SRR29831_01057	CDS	180				hypothetical protein
SRR29831_01058	CDS	540	rpoH_2			RNA polymerase sigma factor RpoH
SRR29831_01059	CDS	1140				hypothetical protein
SRR29831_01060	CDS	201				hypothetical protein
SRR29831_01061	CDS	423				hypothetical protein
SRR29831_01062	CDS	609				hypothetical protein
SRR29831_01063	CDS	1152				hypothetical protein
SRR29831_01064	CDS	501				hypothetical protein
SRR29831_01065	CDS	333				hypothetical protein
SRR29831_01066	CDS	240	merP			Mercuric transport protein periplasmic component
SRR29831_01067	CDS	762	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
SRR29831_01068	CDS	774	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
SRR29831_01069	CDS	264				hypothetical protein
SRR29831_01070	CDS	1854	endo I	3.2.1.14		Chitodextrinase
SRR29831_01071	CDS	627	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
SRR29831_01072	CDS	1143	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
SRR29831_01073	CDS	453	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
SRR29831_01074	CDS	909	mccA	2.5.1.134	COG0031	O-acetylserine dependent cystathionine beta-synthase
SRR29831_01075	CDS	1977	yxdM_3			ABC transporter permease protein YxdM
SRR29831_01076	CDS	774	yxdL_4		COG1136	ABC transporter ATP-binding protein YxdL
SRR29831_01077	CDS	699				hypothetical protein
SRR29831_01078	CDS	2547				hypothetical protein
SRR29831_01079	CDS	684	lolD_3	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
SRR29831_01080	CDS	90				hypothetical protein
SRR29831_01081	CDS	987	graS_3	2.7.13.3		Sensor histidine kinase GraS
SRR29831_01082	CDS	702	graR_3		COG0745	Response regulator protein GraR
SRR29831_01083	CDS	627	ydeA	3.2.-.-	COG0693	putative protease YdeA
SRR29831_01084	CDS	1554	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
SRR29831_01085	CDS	276				hypothetical protein
SRR29831_01086	CDS	1467				hypothetical protein
SRR29831_01087	CDS	999	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
SRR29831_01088	CDS	261	sxy		COG3070	Protein Sxy
SRR29831_01089	CDS	966	rhaR_7			HTH-type transcriptional activator RhaR
SRR29831_01090	CDS	180				hypothetical protein
SRR29831_01091	CDS	342				hypothetical protein
SRR29831_01092	CDS	549	sutR_2		COG1396	HTH-type transcriptional regulator SutR
SRR29831_01093	CDS	882				hypothetical protein
SRR29831_01094	CDS	531				hypothetical protein
SRR29831_01095	CDS	1398	mepA_3			Multidrug export protein MepA
SRR29831_01096	CDS	189				hypothetical protein
SRR29831_01097	CDS	567				hypothetical protein
SRR29831_01098	CDS	165				hypothetical protein
SRR29831_01099	CDS	978	lplJ_3	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
SRR29831_01100	CDS	1389	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
SRR29831_01101	CDS	1455	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
SRR29831_01102	CDS	1341	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
SRR29831_01103	CDS	393	gcvH			Glycine cleavage system H protein
SRR29831_01104	CDS	1113	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
SRR29831_01105	CDS	1404				hypothetical protein
SRR29831_01106	CDS	609				hypothetical protein
SRR29831_01107	CDS	1077				hypothetical protein
SRR29831_01108	CDS	816				hypothetical protein
SRR29831_01109	CDS	927				hypothetical protein
SRR29831_01110	CDS	2013	mcpB_2		COG0840	Methyl-accepting chemotaxis protein McpB
SRR29831_01111	CDS	1239	bchB	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
SRR29831_01112	CDS	1296				hypothetical protein
SRR29831_01113	CDS	750	nifH1	1.18.6.1		Nitrogenase iron protein 1
SRR29831_01114	CDS	786	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
SRR29831_01115	CDS	1041	feuC_1		COG0609	Iron-uptake system permease protein FeuC
SRR29831_01116	CDS	1041	feuB_1		COG0609	Iron-uptake system permease protein FeuB
SRR29831_01117	CDS	996	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
SRR29831_01118	CDS	990	yfmC_2		COG4594	Fe(3+)-citrate-binding protein YfmC
SRR29831_01119	CDS	825	rhaS_4			HTH-type transcriptional activator RhaS
SRR29831_01120	CDS	753				hypothetical protein
SRR29831_01121	CDS	465	greB		COG0782	Transcription elongation factor GreB
SRR29831_01122	CDS	972	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
SRR29831_01123	CDS	678				hypothetical protein
SRR29831_01124	CDS	2196				hypothetical protein
SRR29831_01125	CDS	381	blaI		COG3682	Penicillinase repressor
SRR29831_01126	CDS	972				hypothetical protein
SRR29831_01127	CDS	756	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
SRR29831_01128	CDS	894				hypothetical protein
SRR29831_01129	CDS	987	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
SRR29831_01130	CDS	1344				hypothetical protein
SRR29831_01131	CDS	468				hypothetical protein
SRR29831_01132	CDS	1185	gltS		COG0786	Sodium/glutamate symporter
SRR29831_01133	CDS	420				hypothetical protein
SRR29831_01134	CDS	762				hypothetical protein
SRR29831_01135	CDS	699	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
SRR29831_01136	CDS	1233	norV_2		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
SRR29831_01137	CDS	711	glxR		COG0664	CRP-like cAMP-activated global transcriptional regulator
SRR29831_01138	CDS	819	phnPP	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
SRR29831_01139	CDS	1842	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
SRR29831_01140	CDS	840	licT_1		COG3711	Transcription antiterminator LicT
SRR29831_01141	CDS	399	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
SRR29831_01142	CDS	2967	uvrB_1			UvrABC system protein B
SRR29831_01143	CDS	642				hypothetical protein
SRR29831_01144	CDS	222				hypothetical protein
SRR29831_01145	CDS	303				hypothetical protein
SRR29831_01146	CDS	531				hypothetical protein
SRR29831_01147	CDS	876	hdfR			HTH-type transcriptional regulator HdfR
SRR29831_01148	CDS	1191				hypothetical protein
SRR29831_01149	CDS	423				hypothetical protein
SRR29831_01150	CDS	687				hypothetical protein
SRR29831_01151	CDS	744				hypothetical protein
SRR29831_01152	CDS	1074				hypothetical protein
SRR29831_01153	CDS	984				hypothetical protein
SRR29831_01154	CDS	126				hypothetical protein
SRR29831_01155	CDS	654	walR_7		COG0745	Transcriptional regulatory protein WalR
SRR29831_01156	CDS	645				hypothetical protein
SRR29831_01157	CDS	1428	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
SRR29831_01158	CDS	1014	rhaR_8			HTH-type transcriptional activator RhaR
SRR29831_01159	CDS	825				hypothetical protein
SRR29831_01160	CDS	150				hypothetical protein
SRR29831_01161	CDS	1434	ribZ			Riboflavin transporter RibZ
SRR29831_01162	CDS	438	slyA_2			Transcriptional regulator SlyA
SRR29831_01163	CDS	489				hypothetical protein
SRR29831_01164	CDS	1278	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
SRR29831_01165	CDS	1410	gabR_2		COG1167	HTH-type transcriptional regulatory protein GabR
SRR29831_01166	CDS	480				hypothetical protein
SRR29831_01167	CDS	474				hypothetical protein
SRR29831_01168	CDS	459				hypothetical protein
SRR29831_01169	CDS	1896	mutS2_1	3.1.-.-		Endonuclease MutS2
SRR29831_01170	CDS	387	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
SRR29831_01171	CDS	1224	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
SRR29831_01172	CDS	582	rhaS_5			HTH-type transcriptional activator RhaS
SRR29831_01173	CDS	384	csaA		COG0073	putative chaperone CsaA
SRR29831_01174	CDS	471	ypeA_1	2.3.1.-		Acetyltransferase YpeA
SRR29831_01175	CDS	639	yfiR			putative HTH-type transcriptional regulator YfiR
SRR29831_01176	CDS	627	cat_2	2.3.1.28		Chloramphenicol acetyltransferase
SRR29831_01177	CDS	1680	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
SRR29831_01178	CDS	1032				hypothetical protein
SRR29831_01179	CDS	348				hypothetical protein
SRR29831_01180	CDS	1179	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
SRR29831_01181	CDS	1179	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
SRR29831_01182	CDS	1299	glnK	2.7.13.3	COG0642	Sensor histidine kinase GlnK
SRR29831_01183	CDS	813	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
SRR29831_01184	CDS	1110				hypothetical protein
SRR29831_01185	CDS	645				hypothetical protein
SRR29831_01186	CDS	1668	mdtD			Putative multidrug resistance protein MdtD
SRR29831_01187	CDS	1104	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
SRR29831_01188	CDS	693	srrA_3		COG0745	Transcriptional regulatory protein SrrA
SRR29831_01189	CDS	717				hypothetical protein
SRR29831_01190	CDS	1422	sasA_12	2.7.-.-		Adaptive-response sensory-kinase SasA
SRR29831_01191	CDS	684	walR_8		COG0745	Transcriptional regulatory protein WalR
SRR29831_01192	CDS	1074				hypothetical protein
SRR29831_01193	CDS	1104				hypothetical protein
SRR29831_01194	CDS	393				hypothetical protein
SRR29831_01195	CDS	912				hypothetical protein
SRR29831_01196	CDS	537				hypothetical protein
SRR29831_01197	CDS	321				hypothetical protein
SRR29831_01198	CDS	1392	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
SRR29831_01199	CDS	1224	nupX		COG1972	Putative nucleoside permease NupX
SRR29831_01200	CDS	1422	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
SRR29831_01201	CDS	1905	ltaS2_1		COG1368	Lipoteichoic acid synthase 2
SRR29831_01202	CDS	513				hypothetical protein
SRR29831_01203	CDS	867			COG1307	DegV domain-containing protein
SRR29831_01204	CDS	264				hypothetical protein
SRR29831_01205	CDS	285				hypothetical protein
SRR29831_01206	CDS	594	betI_6			HTH-type transcriptional regulator BetI
SRR29831_01207	CDS	465				hypothetical protein
SRR29831_01208	CDS	681	lolD_4	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
SRR29831_01209	CDS	2469				hypothetical protein
SRR29831_01210	CDS	480				hypothetical protein
SRR29831_01211	CDS	750				hypothetical protein
SRR29831_01212	CDS	1713	msbA_3	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
SRR29831_01213	CDS	498				hypothetical protein
SRR29831_01214	CDS	603				hypothetical protein
SRR29831_01215	CDS	1353	moaA_3			GTP 3',8-cyclase
SRR29831_01216	CDS	120				hypothetical protein
SRR29831_01217	CDS	147				hypothetical protein
SRR29831_01218	CDS	105				hypothetical protein
SRR29831_01219	CDS	126				hypothetical protein
SRR29831_01220	CDS	120				hypothetical protein
SRR29831_01221	CDS	702	ypdB_2		COG3279	Transcriptional regulatory protein YpdB
SRR29831_01222	CDS	609	spsB	3.4.21.89	COG0681	Signal peptidase IB
SRR29831_01223	CDS	438				hypothetical protein
SRR29831_01224	CDS	213				hypothetical protein
SRR29831_01225	CDS	351				hypothetical protein
SRR29831_01226	CDS	849				hypothetical protein
SRR29831_01227	CDS	1005				hypothetical protein
SRR29831_01228	CDS	204	uviB_2			Bacteriocin UviB
SRR29831_01229	CDS	534	uviA			Bacteriocin UviA
SRR29831_01230	CDS	2142				hypothetical protein
SRR29831_01231	CDS	570				hypothetical protein
SRR29831_01232	CDS	447				hypothetical protein
SRR29831_01233	CDS	495				hypothetical protein
SRR29831_01234	CDS	1725				hypothetical protein
SRR29831_01235	CDS	1338	dctA		COG1301	C4-dicarboxylate transport protein
SRR29831_01236	CDS	870	rhaR_9			HTH-type transcriptional activator RhaR
SRR29831_01237	CDS	1845				hypothetical protein
SRR29831_01238	CDS	960	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
SRR29831_01239	CDS	1083	potA	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
SRR29831_01240	CDS	1698				hypothetical protein
SRR29831_01241	CDS	762				hypothetical protein
SRR29831_01242	CDS	696	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
SRR29831_01243	CDS	381				hypothetical protein
SRR29831_01244	CDS	114				hypothetical protein
SRR29831_01245	CDS	1134				hypothetical protein
SRR29831_01246	CDS	684				hypothetical protein
SRR29831_01247	CDS	402	mscL		COG1970	Large-conductance mechanosensitive channel
SRR29831_01248	CDS	1659	expZ_1		COG0488	Nucleotide-binding protein ExpZ
SRR29831_01249	CDS	1992	mcpB_3		COG0840	Methyl-accepting chemotaxis protein McpB
SRR29831_01250	CDS	690				hypothetical protein
SRR29831_01251	CDS	1644	cstA		COG1966	Peptide transporter CstA
SRR29831_01252	CDS	510				hypothetical protein
SRR29831_01253	CDS	909				hypothetical protein
SRR29831_01254	CDS	213				hypothetical protein
SRR29831_01255	CDS	486				hypothetical protein
SRR29831_01256	CDS	450				hypothetical protein
SRR29831_01257	CDS	453	def_2	3.5.1.88		Peptide deformylase
SRR29831_01258	CDS	237				hypothetical protein
SRR29831_01259	CDS	1236	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
SRR29831_01260	CDS	810				hypothetical protein
SRR29831_01261	CDS	939	qmcA		COG0330	Protein QmcA
SRR29831_01262	CDS	441				hypothetical protein
SRR29831_01263	CDS	1923	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
SRR29831_01264	CDS	426				hypothetical protein
SRR29831_01265	CDS	591				hypothetical protein
SRR29831_01266	CDS	537	srpC_1		COG2059	putative chromate transport protein
SRR29831_01267	CDS	537	srpC_2		COG2059	putative chromate transport protein
SRR29831_01268	CDS	2619		7.2.2.10		Calcium-transporting ATPase 1
SRR29831_01269	CDS	873	comEC_1		COG0658	ComE operon protein 3
SRR29831_01270	CDS	510	yrdA		COG0663	Protein YrdA
SRR29831_01271	CDS	1350	adiC_1		COG0531	Arginine/agmatine antiporter
SRR29831_01272	CDS	1374	adiC_2		COG0531	Arginine/agmatine antiporter
SRR29831_01273	CDS	375				hypothetical protein
SRR29831_01274	CDS	465	asnC		COG1522	Regulatory protein AsnC
SRR29831_01275	CDS	300				hypothetical protein
SRR29831_01276	CDS	840				hypothetical protein
SRR29831_01277	CDS	666	sodB	1.15.1.1		Superoxide dismutase [Fe]
SRR29831_01278	CDS	423				hypothetical protein
SRR29831_01279	CDS	330				hypothetical protein
SRR29831_01280	CDS	696				hypothetical protein
SRR29831_01281	CDS	414			COG2703	Bacteriohemerythrin
SRR29831_01282	CDS	363				hypothetical protein
SRR29831_01283	CDS	2007	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
SRR29831_01284	CDS	954	ceo	1.5.1.24		N(5)-(carboxyethyl)ornithine synthase
SRR29831_01285	CDS	621				hypothetical protein
SRR29831_01286	CDS	192				hypothetical protein
SRR29831_01287	CDS	1356	mepA_4			Multidrug export protein MepA
SRR29831_01288	CDS	2355	dinG_1	3.1.-.-		3'-5' exonuclease DinG
SRR29831_01289	CDS	1278	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
SRR29831_01290	CDS	795	rssB_1			Regulator of RpoS
SRR29831_01291	CDS	2031	mcp1		COG0840	Methyl-accepting chemotaxis protein 1
SRR29831_01292	CDS	585		3.1.4.-	COG3437	3'3'-cGAMP-specific phosphodiesterase 2
SRR29831_01293	CDS	1248	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
SRR29831_01294	CDS	945		3.1.1.23	COG2267	Monoacylglycerol lipase
